x,y,label
13.4832,3.2657,1
7.6388,7.0170,0
2.9279,2.9603,2
7.4514,6.4439,0
3.3011,2.4642,2
3.4519,4.0798,2
3.3845,3.6431,2
6.8615,7.5514,0
12.4685,2.8865,1
12.0551,2.8222,1
11.9108,2.1622,1
6.1068,6.8417,0
12.7486,3.1273,1
12.7034,2.6070,1
12.6335,2.6361,1
12.7492,3.6419,1
3.6576,1.7950,2
3.1455,3.7491,2
3.8054,3.6819,2
12.6738,2.7993,1
3.0833,4.0750,2
12.9502,3.0039,1
2.2709,3.1396,2
12.9902,3.3894,1
2.5158,3.3689,2
6.3378,7.4443,0
1.9796,4.1662,2
3.7259,3.0500,2
3.3164,2.8927,2
7.4487,7.0296,0
12.3466,3.1724,1
6.3986,7.2065,0
13.5643,3.8327,1
11.9868,2.1879,1
6.6631,8.2236,0
6.9448,8.2785,0
7.9121,7.0601,0
12.4422,1.8097,1
12.2433,3.6196,1
13.3081,4.0084,1
2.4517,2.8712,2
4.7231,2.8998,2
6.1220,7.0072,0
2.5911,1.7663,2
6.7053,7.4287,0
3.6075,4.3019,2
6.0408,7.6170,0
12.4238,2.2819,1
11.9830,3.2777,1
3.0031,3.1606,2
7.0173,7.6976,0
6.3649,8.2309,0
7.6336,6.8256,0
12.1450,1.1947,1
6.8564,7.5668,0
7.3527,6.8011,0
2.6413,4.9870,2
7.6491,7.7453,0
2.3074,2.6049,2
12.1907,2.8064,1
2.9267,1.8298,2
7.2024,6.9159,0
8.1160,6.8133,0
12.8665,4.0648,1
6.6124,7.4065,0
2.3823,2.3762,2
7.6280,7.5510,0
13.3979,2.4911,1
13.2831,3.0721,1
7.3759,7.9068,0
3.2835,4.1718,2
3.2838,3.4710,2
12.6107,4.3648,1
7.5513,7.1066,0
2.0792,4.7593,2
